paper_id,title,year,venue,task,modality,dataset,core_mechanism,code_url,primary_source,evidence_level,fulltext_read,closest_claim,known_limit,status
P001,"LASO: Language-guided Affordance Segmentation on 3D Object",2024,CVPR,language-guided 3D affordance segmentation,"point cloud+text",LASO,"multi-scale text-point fusion and referred point decoder",https://github.com/yl3800/LASO,https://openaccess.thecvf.com/content/CVPR2024/html/Li_LASO_Language-guided_Affordance_Segmentation_on_3D_Object_CVPR_2024_paper.html,A,yes,"questions are built per object-affordance pair; scale variation already addressed","test fixes one canonical question and does not report counterfactual prompt tests",CORE
P002,"GEAL: Generalizable 3D Affordance Learning with Cross-Modal Consistency",2025,CVPR,generalizable 3D affordance learning,"point cloud+rendered 2D+text",LASO/PIAD/LASO-C/PIAD-C,"3DGS dual branch, granularity-adaptive fusion, 2D-3D consistency",https://github.com/DylanOrange/GEAL,https://openaccess.thecvf.com/content/CVPR2025/html/Lu_GEAL_Generalizable_3D_Affordance_Learning_with_Cross-Modal_Consistency_CVPR_2025_paper.html,A,yes,"directly covers multi-granularity global 2D/3D transfer","evaluation retains standard LASO prompt protocol",CORE
P003,"Intermediate Connectors and Geometric Priors for Language-Guided Affordance Segmentation on Unseen Object Categories",2025,ICCV,unseen-category LASO,"point cloud+text+multi-view VLM masks",LASO/LangSHAPE,"cross-modal connectors and geometry-aware queries",https://anonymous.4open.science/r/GLANCE,https://openaccess.thecvf.com/content/ICCV2025/html/Li_Intermediate_Connectors_and_Geometric_Priors_for_Language-Guided_Affordance_Segmentation_on_ICCV_2025_paper.html,A,yes,"explicitly identifies category-specific cue memorization and region variability","focuses category transfer rather than same-geometry prompt faithfulness",CORE
P004,"Unlocking 3D Affordance Segmentation with 2D Semantic Knowledge",2026,CVPR,3D affordance segmentation,"point cloud+2D VFM+text/visual prompt",PIAD/PIADv2/LASO,"cross-modal affinity transfer pretraining",https://github.com/yellowfish0331/CMAT,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Unlocking_3D_Affordance_Segmentation_with_2D_Semantic_Knowledge_CVPR_2026_paper.html,A,yes,"argues encoder semantic capacity is deeper bottleneck than prompt enrichment","does not isolate counterfactual instruction dependence",CORE
P005,"Grounding 3D Object Affordance with Language Instructions, Visual Observations and Interactions",2025,CVPR,multimodal 3D affordance grounding,"point cloud+image+language",AGPIL,"VLM fusion under full/partial/rotated views",,https://openaccess.thecvf.com/content/CVPR2025/html/Zhu_Grounding_3D_Object_Affordance_with_Language_Instructions_Visual_Observations_and_CVPR_2025_paper.html,B,no,"partial-view and multimodal grounding neighbor","different dataset and observation setting",NEIGHBOR
P006,"GREAT: Geometry-Intention Collaborative Inference for Open-Vocabulary 3D Object Affordance Grounding",2025,CVPR,open-vocabulary 3D affordance grounding,"point cloud+vision+language",PIADv2,"geometry-intention collaborative inference",https://yawen-shao.github.io/GREAT/,https://openaccess.thecvf.com/content/CVPR2025/html/Shao_GREAT_Geometry-Intention_Collaborative_Inference_for_Open-Vocabulary_3D_Object_Affordance_Grounding_CVPR_2025_paper.html,B,no,"instruction and geometry reasoning strong neighbor","not yet checked for paired counterfactual evaluation",NEIGHBOR
P007,"QueryMe: Query-Driven Open-Vocabulary 3D Object Affordances Grounding from Multimodal Evidence",2026,CVPR,open-vocabulary 3D affordance grounding,"HOI image+point cloud+text",PIADv2,"adaptive spatial anchors and multimodal queries",,https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_QueryMe_Query-Driven_Open-Vocabulary_3D_Object_Affordances_Grounding_from_Multimodal_Evidence_CVPR_2026_paper.html,B,no,"adaptive region selection already exists","different open-vocabulary evidence setting",NEIGHBOR
P008,"SeqAfford: Sequential 3D Affordance Reasoning via Multimodal Large Language Model",2025,CVPR,sequential 3D affordance reasoning,"point cloud+instruction",SeqAfford,"MLLM reasoning for single and sequential affordances",,https://openaccess.thecvf.com/content/CVPR2025/html/Yu_SeqAfford_Sequential_3D_Affordance_Reasoning_via_Multimodal_Large_Language_Model_CVPR_2025_paper.html,B,no,"moves from label-like prompts toward instruction reasoning","large-model and sequential setting differs",NEIGHBOR
P009,"ThinkAfford: Affordance-Centric Reasoning for Fine-Grained 3D Grounding in Cluttered Scenes",2026,arXiv,task-driven 3D affordance grounding,"3D scene+language",SceneFun3D,"proposal generation plus instruction-grounded reasoning",,https://arxiv.org/abs/2608.10981,B,no,"directly targets granularity and relational-language confusion","scene-level preprint; code availability unverified",HIGH_RISK_NEIGHBOR
P010,"Can Segmentation Models Understand the World? Towards Proactive Affordance Reasoning via Visual Chain-of-Thought",2026,arXiv,intent-to-part segmentation,"image+intent language",intent-to-part benchmark,"proactive visual CoT",,https://arxiv.org/abs/2605.27764,B,no,"distinguishes target-referential prompts from intent-level prompts","2D setting; code/data availability unverified",NEIGHBOR
P011,"Unveiling the Mist over 3D Vision-Language Understanding: Object-centric Evaluation with Chain-of-Analysis",2025,CVPR,3D vision-language evaluation,"3D scene+language",BEACON3D,"language variation and grounding-QA coherence diagnostics",,https://openaccess.thecvf.com/content/CVPR2025/papers/Huang_Unveiling_the_Mist_over_3D_Vision-Language_Understanding_Object-centric_Evaluation_with_CVPR_2025_paper.pdf,B,no,"shows standard success can hide shortcut and language instability","object-level grounding/QA rather than affordance mask",ANALOGY
P012,"Words Aren't Enough, Their Order Matters: On the Robustness of Grounding Visual Referring Expressions",2020,ACL,referring expression grounding,"image+language",RefCOCOg/Ref-Adv,"language perturbation and adversarial target changes",,https://aclanthology.org/2020.acl-main.586/,A,yes,"direct precedent for testing whether grounding uses linguistic structure","2D object grounding rather than 3D affordance",ANALOGY
P013,"GroundBench: A Factorized, Counterfactual Benchmark for Locating VLM Affordance Failures",2026,arXiv,VLM affordance diagnosis,"image+language",GroundBench,"factorized inputs and counterfactual re-ask",https://github.com/S1rlvk/groundbench,https://arxiv.org/abs/2609.13308,A,yes,"closest counterfactual affordance diagnostic","behavioral benchmark; no internal representation localization",HIGH_RISK_NEIGHBOR
P014,"Towards Vision-Language Mechanistic Interpretability: A Causal Tracing Tool for BLIP",2023,ICCVW,VLM mechanistic interpretability,"image+language",VQA,"causal tracing with activation restoration",https://github.com/vedantpalit/Towards-Vision-Language-Mechanistic-Interpretability,https://openaccess.thecvf.com/content/ICCV2023W/CLVL/html/Palit_Towards_Vision-Language_Mechanistic_Interpretability_A_Causal_Tracing_Tool_for_BLIP_ICCVW_2023_paper.html,A,yes,"direct precedent for VLM causal tracing","VQA/generative BLIP rather than dense 3D point mask",HIGH_RISK_NEIGHBOR
P015,"Same Task, Different Circuits: Disentangling Modality-Specific Mechanisms in VLMs",2025,NeurIPS,VLM circuit localization,"image/text+query",multitask counting/reasoning,"circuit localization and later-to-earlier back-patching",https://github.com/technion-cs-nlp/vlm-circuits-analysis,https://papers.nips.cc/paper_files/paper/2025/hash/5fcd540792da599adf1b932624e98f1f-Abstract-Conference.html,A,yes,"information may align too late to affect later positions; patching restores behavior","not spatial point-level affordance grounding",HIGH_RISK_NEIGHBOR
P016,"Vision-Default, Prior-Override: Causal Mechanisms of Perception-Knowledge Conflict in Vision-Language Models",2026,arXiv,VLM causal mechanisms,"image+language",Visual-Counterfact,"residual/head/MLP activation patching and routing/writing head analysis",https://github.com/nlietzow/vision-default-prior-override,https://arxiv.org/abs/2606.28273,A,yes,"component-level routing mechanism with bidirectional behavioral effects","perception-knowledge conflict in generative VLMs",HIGH_RISK_NEIGHBOR
P017,"Dual-Pathway Circuits of Object Hallucination in Vision-Language Models",2026,arXiv,VLM circuit analysis,"image+language",POPE-adversarial/AMBER,"activation patching conditional pathway analysis and targeted suppression",,https://arxiv.org/abs/2605.13156,A,yes,"behavior-to-pathway-to-intervention template across five VLMs","hallucination output rather than dense spatial switching",NEIGHBOR
P018,"Beyond Cross-Modal Alignment: Measuring and Leveraging Modality Gap in Vision-Language Models",2026,Findings ACL,multimodal representation analysis,"image+language",multiple VLM analyses,"modality dominance score and training-free feature editing",,https://aclanthology.org/2026.findings-acl.588/,A,yes,"directly covers modality dominance measurement","not query-to-point causal routing",NEIGHBOR
P019,"Vision-and-Language or Vision-for-Language? On Cross-Modal Influence in Multimodal Transformers",2021,EMNLP,cross-modal influence,"image+language",V&L pretraining tasks,"selective input ablation and asymmetric cross-modal influence",,https://aclanthology.org/2021.emnlp-main.775/,A,yes,"null/input ablation is established diagnostic","behavioral influence only; no point-level causal localization",ANALOGY
P020,"Towards Best Practices of Activation Patching in Language Models: Metrics and Methods",2024,ICLR,mechanistic interpretability methodology,text,controlled LM tasks,"activation patching metric and corruption sensitivity",,https://openreview.net/pdf?id=9eJv5PS27Q,A,yes,"patching conclusions depend on metric and corruption choices","language models rather than multimodal dense prediction",METHOD
