paper_id,title,year,venue,task,modality,dataset,core_mechanism,code_url,primary_source,evidence_level,fulltext_read,closest_claim,known_limit,status
L-001,SuperPC: A Single Diffusion Model for Point Cloud Completion Upsampling Denoising and Colorization,2025,CVPR,"unified completion+upsampling+denoising+colorization",point cloud,,"single diffusion model; three-level-conditioned diffusion + spatial-mix-fusion to leverage correlations among four coexisting defects",,https://openaccess.thecvf.com/content/CVPR2025/html/Du_SuperPC_A_Single_Diffusion_Model_for_Point_Cloud_Completion_Upsampling_CVPR_2025_paper.html,B,no,"first unified diffusion model concurrently handling all four tasks; outperforms SOTA specialized models and their combination",dataset names and code availability not in abstract,VERIFIED
L-002,PQDT: Pseudo-Query Dual Transformer for Robust Point Cloud Restoration,2026,arXiv preprint (not CVPR 2026),unified point cloud restoration,point cloud,,"unified point-only Transformer backbone; Pseudo-Query module reformulates geometric translation into two cooperative stages; handles completion+deformation+denoising degradations",,https://doi.org/10.48550/arXiv.2605.25127,B,no,"unified network directly reconstructs high-quality geometry under diverse degradation scenarios",,"venue is arXiv preprint (2605.25127, 2026-05-24); 'CVPR 2026' attribution UNVERIFIED; no code link found",VERIFIED
L-003,PointMAC: Meta-Learned Adaptation for Robust Test-Time Point Cloud Completion,2025,NeurIPS 2025 poster,test-time adaptation for point cloud completion,point cloud,"synthetic/simulated/real-world (names not in abstract)",meta-auxiliary learning (MAML); two self-supervised auxiliary objectives (stochastic masked reconstruction + artifact denoising); test-time adaptation of shared encoder; adaptive lambda-calibration,,https://openreview.net/forum?id=4xl00JWQ1z,B,no,"first meta-auxiliary test-time adaptation for point cloud completion; sample-specific refinement without extra supervision",,"code release stated as committed in rebuttal but not confirmed; per-sample inference cost",VERIFIED
L-004,ZFusion: Efficient Deep Compositional Zero-Shot Learning for Blind Image Super-Resolution with Generative Diffusion Prior,2025,ICCV,blind image super-resolution (2D),image (2D),,"compositional zero-shot degradation learning + generative diffusion prior",,https://doi.org/10.1109/ICCV51701.2025.01147,B,no,"compositional zero-shot degradation learning for blind SR",2D image not point cloud; abstract not read (metadata only),VERIFIED
L-005,DWCNet: Denoising-While-Completing Network - Robust point cloud completion under corruption,2025,Computers & Graphics (journal),denoising + completion under corruption,point cloud,"corrosion point cloud (per title/context)",joint denoising-while-completing for robust completion under corruption,,https://doi.org/10.1016/j.cag.2025.104401,B,no,"joint denoising and completion for corrupted point clouds",abstract and code availability not read,VERIFIED
L-006,SSUMamba: Spatial-Spectral Selective State Space Model for Hyperspectral Image Denoising,2024,IEEE TGRS,hyperspectral image denoising (2D),image (2D),,"spatial-spectral selective state space model (Mamba) for HSI denoising",,https://doi.org/10.1109/TGRS.2024.3446812,B,no,"HSI denoising via spatial-spectral SSM",,NOT a point cloud method; seed list's point-cloud attribution is incorrect,VERIFIED
L-007,CPCCD (corrosion point cloud completion dataset),2026,,corrosion point cloud completion dataset,point cloud,,,,,UNKNOWN,D,no,existence as standalone publication not confirmed,,not locatable in DBLP/OpenAlex; likely dataset introduced inside DWCNet; UNVERIFIED,UNVERIFIED
L-008,PConv (attributed AAAI 2025 point-cloud method),2025,,(unverified) point cloud method,point cloud,,,,,UNKNOWN,D,no,no point-cloud PConv paper at AAAI 2025 found,,DBLP 'PConv' matches only partial-convolution 2D works (FasterNet etc.); UNVERIFIED,UNVERIFIED
L-009,AKCMamba-YOLO (attributed CVPR 2026),2026,,(unverified) LiDAR 3D detection,LiDAR point cloud,,,,,UNKNOWN,D,no,no AKCMamba-YOLO entry found,,not in DBLP or OpenAlex as of 2026-09-02; UNVERIFIED,UNVERIFIED
L-010,PoinTr: Diverse Point Cloud Completion with Geometry-Aware Transformers,2021,ICCV,point cloud completion,point cloud,"PCN/ShapeNet (not verified here)",geometry-aware transformer; point proxy (query) generation from partial input,,https://doi.org/10.1109/ICCV48922.2021.01227,B,no,geometry-aware transformer for completion,metadata only,VERIFIED
L-011,SnowflakeNet: Point Cloud Completion by Snowflake Point Deconvolution with Skip-Transformer,2021,ICCV,point cloud completion,point cloud,,snowflake point deconvolution (progressive point splitting) + skip-transformer,,https://doi.org/10.1109/ICCV48922.2021.00545,B,no,snowflake point deconvolution for completion,metadata only,VERIFIED
L-012,SeedFormer: Patch Seeds Based Point Cloud Completion with Upsample Transformer,2022,ECCV,point cloud completion,point cloud,,patch seeds + upsample transformer,,https://doi.org/10.1007/978-3-031-20062-5_24,B,no,patch seed based completion,metadata only,VERIFIED
L-013,AdaPoinTr: Diverse Point Cloud Completion with Adaptive Geometry-Aware Transformers,2023,IEEE TPAMI,point cloud completion,point cloud,,adaptive geometry-aware transformer (query denoising + dynamic kNN),,https://doi.org/10.1109/TPAMI.2023.3309253,B,no,adaptive geometry-aware transformer completion,metadata only,VERIFIED
L-014,PU-GCN: Point Cloud Upsampling Using Graph Convolutional Networks,2021,CVPR,point cloud upsampling,point cloud,,graph convolutional upsampling (inception/dense GCN on neighborhood),,https://doi.org/10.1109/CVPR46437.2021.01151,B,no,GCN-based point cloud upsampling,metadata only,VERIFIED
